datastore_v3:BeginTransaction datastore_v3:RunQuery datastore_v3:Commit datastore_v3:Put datastore_v3:Get datastore_v3:RunQuery datastore_v3:Delete datastore_v3:RunQuery datastore_v3:Next datastore_v3:RunQuery datastore_v3:Next datastore_v3:RunQuery datastore_v3:Next memcache:Set memcache:Get memcache:Delete Total 
6000 12 7 23 9 9 48 20 0 129 1 1340 0 2 2 2 7619
7000 21 6 29 8 12 30 22 1 145 0 1345 0 1 1 2 8630
7000 9 7 34 7 10 23 29 0 155 0 1307 0 3 1 2 8589
6000 13 7 23 6 9 23 20 0 154 0 1326 0 2 1 2 7598
8000 12 7 49 7 9 15 40 0 138 0 1365 0 3 1 2 9656
9000 11 5 23 9 11 17 23 0 174 0 1355 0 3 2 2 10642
6000 8 6 20 10 9 19 18 0 127 0 1102 1 2 1 3 7333
5000 11 13 23 6 8 39 23 0 119 0 1367 0 5 2 2 6625
6000 12 5 20 6 10 18 19 0 137 1 1350 0 3 1 3 7599
8000 11 6 36 8 9 20 38 0 140 1 1474 0 2 1 2 9750
10000 10 9 20 7 8 21 19 0 148 1 1287 0 2 1 2 11545
6000 10 5 29 7 10 19 21 1 115 0 1194 0 2 1 1 7417
7000 10 7 26 7 10 20 23 0 136 0 1366 0 2 1 2 8623
13000 10 5 24 7 8 20 18 1 136 0 1072 0 2 2 2 14321
7000 10 7 19 8 9 16 19 0 134 0 1152 0 2 1 2 8381
8000 10 5 20 6 13 17 23 0 154 0 1309 0 2 2 2 9577
6000 14 6 25 7 9 22 20 0 117 0 1183 0 2 2 2 7415
6000 12 6 24 8 13 17 22 0 145 0 1364 0 2 1 2 7626
8000 10 8 25 9 10 28 22 0 161 1 2546 0 3 2 2 10828
8000 10 16 24 9 11 36 21 0 123 0 1425 0 3 1 2 9694
8000 9 6 20 8 9 22 18 0 105 0 1169 0 3 2 5 9385
7000 13 7 24 12 10 17 19 0 167 0 1080 0 3 1 2 8368
9000 10 7 50 7 9 20 21 1 135 0 1268 0 3 2 2 10546
6000 10 6 24 8 10 21 18 0 123 0 1231 0 2 2 2 7472
5000 9 8 22 7 9 22 22 0 125 0 1341 0 2 2 2 6582
7000 10 8 23 7 9 24 19 0 112 0 1116 12 2 2 3 8353
6000 10 6 30 7 9 23 19 0 133 0 1319 1 3 2 2 7577
7000 9 11 26 8 9 17 22 0 152 0 1355 0 2 2 3 8622
8000 37 6 22 6 10 17 22 0 108 0 1068 0 2 1 2 9302
4000 13 9 21 8 10 17 22 1 144 1 1076 0 2 2 2 5338
7000 9 6 19 7 9 25 23 0 131 0 1313 0 3 1 2 8556
8000 9 6 20 8 13 18 25 1 118 1 1122 0 2 1 1 9347
6000 13 7 26 6 8 20 20 1 129 0 1347 0 5 2 2 7591
7000 10 6 27 7 11 21 25 1 162 0 1359 0 2 1 2 8644
8000 11 6 25 7 11 21 27 0 132 0 1380 0 2 1 1 9632
6000 11 8 29 8 10 22 18 0 126 0 1185 0 3 5 2 7432
7000 10 8 21 6 12 26 26 0 269 0 1430 0 3 1 2 8827
6000 11 6 28 8 12 16 20 0 158 0 1157 0 2 2 2 7426
5000 19 6 20 9 10 20 22 1 146 0 1498 1 2 1 1 6770
5000 11 5 18 7 9 20 45 0 152 0 2418 1 2 2 2 7698
