Loaded 1464 data points from file
Min index:  68
[trace] 349 26 21
[trace] 350 26 20
[trace] 351 26 17
[trace] 352 26 16
[trace] 353 26 17
[trace] 354 26 17
[trace] 355 26 16
[trace] 356 26 17
[trace] 357 26 17
[trace] 358 26 16
[trace] 359 26 21
[trace] 360 26 17
[trace] 361 26 15
[trace] 362 26 19
[trace] 363 26 16
[trace] 364 26 27
[trace] 365 26 33
[trace] 366 27 20
[trace] 367 27 15
[trace] 368 27 23
[trace] 369 26 16
[trace] 370 26 18
[trace] 371 26 19
[trace] 372 26 17
[trace] 373 26 22
[trace] 374 26 17
[trace] 375 26 18
[trace] 376 26 18
[trace] 377 26 18
[trace] 378 26 17
[trace] 379 26 15
[trace] 380 26 20
[trace] 381 26 17
[trace] 382 26 18
[trace] 383 26 18
[trace] 384 26 16
[trace] 385 26 17
[trace] 386 26 18
[trace] 387 26 15
[trace] 388 26 17
[trace] 389 26 19
[trace] 390 26 19
[trace] 391 26 17
[trace] 392 26 19
[trace] 393 26 18
[trace] 394 26 17
[trace] 395 26 17
[trace] 396 26 16
[trace] 397 26 26
[trace] 398 26 18
[trace] 399 26 16
[trace] 400 26 16
[trace] 401 26 18
[trace] 402 26 17
[trace] 403 26 18
[trace] 404 26 26
[trace] 405 26 18
[trace] 406 26 17
[trace] 407 26 17
[trace] 408 26 19
[trace] 409 26 23
[trace] 410 26 25
[trace] 411 26 18
[trace] 412 26 17
[trace] 413 26 19
[trace] 414 26 17
[trace] 415 26 17
[trace] 416 26 20
[trace] 417 26 16
[trace] 418 26 16
[trace] 419 26 19
[trace] 420 26 16
[trace] 421 26 19
[trace] 422 26 22
[trace] 423 26 19
[trace] 424 26 19
[trace] 425 26 17
[trace] 426 26 18
[trace] 427 26 17
[trace] 428 26 17
[trace] 429 26 28
[trace] 430 26 16
[trace] 431 26 19
[trace] 432 26 17
[trace] 433 26 17
[trace] 434 26 19
[trace] 435 26 16
[trace] 436 26 16
[trace] 437 26 18
[trace] 438 26 18
[trace] 439 26 17
[trace] 440 26 23
[trace] 441 26 15
[trace] 442 26 17
[trace] 443 26 20
[trace] 444 26 18
[trace] 445 26 17
[trace] 446 26 19
[trace] 447 26 17
[trace] 448 26 16
[trace] 449 26 18
[trace] 450 26 16
[trace] 451 26 18
[trace] 452 26 19
[trace] 453 26 18
[trace] 454 26 15
[trace] 455 26 22
[trace] 456 26 18
[trace] 457 26 22
[trace] 458 26 23
[trace] 459 26 20
[trace] 460 26 18
[trace] 461 26 17
[trace] 462 26 16
[trace] 463 26 18
[trace] 464 26 26
[trace] 465 26 17
[trace] 466 26 20
[trace] 467 26 20
[trace] 468 26 20
[trace] 469 26 16
[trace] 470 26 19
[trace] 471 26 19
[trace] 472 26 17
[trace] 473 26 18
[trace] 474 26 17
[trace] 475 26 17
[trace] 476 26 25
[trace] 477 26 17
[trace] 478 26 18
[trace] 479 26 18
[trace] 480 26 20
[trace] 481 26 18
[trace] 482 26 17
[trace] 483 26 16
[trace] 484 26 17
[trace] 485 26 17
[trace] 486 26 19
[trace] 487 26 16
[trace] 488 26 20
[trace] 489 26 17
[trace] 490 26 19
[trace] 491 26 16
[trace] 492 26 20
[trace] 493 26 17
[trace] 494 26 20
[trace] 495 26 17
[trace] 496 26 17
[trace] 497 26 17
[trace] 498 26 17
[trace] 499 26 28
[trace] 500 26 17
[trace] 501 26 18
[trace] 502 26 20
[trace] 503 26 17
[trace] 504 26 22
[trace] 505 26 20
[trace] 506 26 17
[trace] 507 26 18
[trace] 508 26 16
[trace] 509 26 17
[trace] 510 26 15
[trace] 511 26 17
[trace] 512 26 22
[trace] 513 26 20
[trace] 514 26 16
[trace] 515 26 18
[trace] 516 26 16
[trace] 517 26 17
[trace] 518 26 17
[trace] 519 26 15
[trace] 520 26 17
[trace] 521 26 18
[trace] 522 26 21
[trace] 523 26 17
[trace] 524 26 42
[trace] 525 26 15
[trace] 526 26 16
[trace] 527 26 18
[trace] 528 26 18
[trace] 529 26 19
[trace] 530 26 19
[trace] 531 26 17
[trace] 532 26 16
[trace] 533 26 18
[trace] 534 26 20
[trace] 535 26 23
[trace] 536 26 24
[trace] 537 26 16
[trace] 538 26 17
[trace] 539 26 19
[trace] 540 26 16
[trace] 541 26 17
[trace] 542 26 19
[trace] 543 26 16
[trace] 544 26 22
[trace] 545 26 18
[trace] 546 26 16
[trace] 547 26 17
[trace] 548 26 61
[trace] 549 26 15
[trace] 550 26 17
[trace] 551 26 18
[trace] 552 26 17
[trace] 553 26 18
[trace] 554 26 17
[trace] 555 26 17
[trace] 556 26 16
[trace] 557 26 17
[trace] 558 26 19
[trace] 559 26 16
[trace] 560 26 18
[trace] 561 26 17
[trace] 562 26 18
[trace] 563 26 24
[trace] 564 26 17
[trace] 565 26 19
[trace] 566 26 17
[trace] 567 26 16
[trace] 568 26 16
[trace] 569 26 17
[trace] 570 26 18
[trace] 571 26 16
[trace] 572 26 19
[trace] 573 26 16
[trace] 574 26 15
[trace] 575 26 17
[trace] 576 26 17
[trace] 577 26 20
[trace] 578 26 17
[trace] 579 26 18
[trace] 580 26 19
[trace] 581 26 18
[trace] 582 26 16
[trace] 583 26 16
[trace] 584 26 18
[trace] 585 26 17
[trace] 586 26 20
[trace] 587 26 19
[trace] 588 26 18
[trace] 589 26 31
[trace] 590 26 20
[trace] 591 26 38
[trace] 592 26 17
[trace] 593 26 17
[trace] 594 26 18
[trace] 595 26 16
[trace] 596 26 21
[trace] 597 26 21
[trace] 598 26 16
[trace] 599 26 16
[trace] 600 26 17
[trace] 601 26 16
[trace] 602 26 19
[trace] 603 26 16
[trace] 604 26 16
[trace] 605 26 19
[trace] 606 26 20
[trace] 607 26 17
[trace] 608 26 17
[trace] 609 26 17
[trace] 610 26 24
[trace] 611 26 18
[trace] 612 26 18
[trace] 613 26 16
[trace] 614 26 19
[trace] 615 26 17
[trace] 616 26 19
[trace] 617 26 18
[trace] 618 26 25
[trace] 619 26 23
[trace] 620 26 21
[trace] 621 26 17
[trace] 622 26 20
[trace] 623 26 18
[trace] 624 26 15
[trace] 625 26 23
[trace] 626 26 25
[trace] 627 26 16
[trace] 628 26 21
[trace] 629 26 21
[trace] 630 26 17
[trace] 631 26 19
[trace] 632 26 18
[trace] 633 26 15
[trace] 634 26 18
[trace] 635 26 19
[trace] 636 26 16
[trace] 637 26 17
[trace] 638 26 21
[trace] 639 26 18
[trace] 640 26 17
[trace] 641 26 18
[trace] 642 26 15
[trace] 643 26 16
[trace] 644 26 19
[trace] 645 26 17
[trace] 646 26 17
[trace] 647 26 22
[trace] 648 26 17
[trace] 649 26 17
[trace] 650 26 17
[trace] 651 26 19
[trace] 652 26 20
[trace] 653 26 18
[trace] 654 26 18
[trace] 655 26 18
[trace] 656 26 22
[trace] 657 26 18
[trace] 658 26 15
[trace] 659 26 18
[trace] 660 26 15
[trace] 661 26 16
[trace] 662 26 20
[trace] 663 26 20
[trace] 664 26 16
[trace] 665 25 18
[trace] 666 25 16
[trace] 667 25 17
[trace] 668 25 17
[trace] 669 25 16
[trace] 670 25 16
[trace] 671 25 18
[trace] 672 25 22
[trace] 673 25 16
[trace] 674 25 28
[trace] 675 26 16
[trace] 676 26 18
[trace] 677 26 16
[trace] 678 26 17
[trace] 679 26 18
[trace] 680 26 18
[trace] 681 26 16
[trace] 682 26 22
[trace] 683 26 21
[trace] 684 26 15
[trace] 685 26 17
[trace] 686 26 19
[trace] 687 26 16
[trace] 688 25 19
[trace] 689 25 22
[trace] 690 25 19
[trace] 691 25 15
[trace] 692 25 20
[trace] 693 25 18
[trace] 694 25 17
[trace] 695 25 18
[trace] 696 25 17
[trace] 697 25 19
[trace] 698 25 19
[trace] 699 25 16
[trace] 700 25 17
[trace] 701 25 24
[trace] 702 25 21
[trace] 703 25 16
[trace] 704 25 17
[trace] 705 25 16
[trace] 706 25 16
[trace] 707 25 18
[trace] 708 25 17
[trace] 709 25 25
[trace] 710 25 20
[trace] 711 25 15
[trace] 712 25 18
[trace] 713 25 19
[trace] 714 25 16
[trace] 715 25 16
[trace] 716 25 18
[trace] 717 25 16
[trace] 718 25 39
[trace] 719 25 20
[trace] 720 25 16
[trace] 721 25 17
[trace] 722 25 19
[trace] 723 25 16
[trace] 724 25 16
[trace] 725 25 17
[trace] 726 25 16
[trace] 727 25 17
[trace] 728 25 20
[trace] 729 25 20
[trace] 730 25 16
[trace] 731 25 17
[trace] 732 25 24
[trace] 733 25 17
[trace] 734 25 19
[trace] 735 25 18
[trace] 736 25 16
[trace] 737 25 19
[trace] 738 25 16
[trace] 739 25 18
[trace] 740 25 20
[trace] 741 25 16
[trace] 742 25 21
[trace] 743 25 17
[trace] 744 25 20
[trace] 745 25 16
[trace] 746 25 21
[trace] 747 25 21
[trace] 748 25 17
[trace] 749 25 17
[trace] 750 25 18
[trace] 751 25 19
[trace] 752 25 18
[trace] 753 25 18
[trace] 754 25 24
[trace] 755 25 18
[trace] 756 25 16
[trace] 757 25 18
[trace] 758 25 18
[trace] 759 25 17
