bm_datastore_asList_10 bm_datastore_asSingleEntity bm_datastore_delete bm_datastore_get bm_datastore_put bm_memcache_delete bm_memcache_get bm_memcache_put
44 9 27 7 47 2 4 2 148
28 9 58 8 43 2 2 3 156
28 9 30 7 45 3 3 3 131
27 9 28 7 45 3 3 2 130
29 9 30 7 45 3 2 2 129
38 9 31 7 46 3 2 2 141
28 7 28 10 50 2 3 2 138
29 8 33 17 54 3 2 2 151
26 7 30 7 44 3 3 2 127
29 8 29 7 47 3 4 1 137
26 7 29 7 49 3 3 2 127
35 9 29 7 45 3 4 2 143
24 17 30 6 47 3 3 2 135
32 8 30 9 44 3 3 4 140
26 8 27 8 43 3 3 2 129
29 10 31 10 46 4 3 3 142
35 8 32 7 47 3 3 2 140
31 9 28 7 45 4 3 3 136
31 8 27 7 44 4 3 2 135
34 10 30 8 74 4 2 3 171
61 9 30 7 51 4 3 4 170
27 8 30 17 43 3 2 2 133
40 8 30 6 43 3 3 2 140
31 8 28 6 43 3 3 2 125
31 8 31 8 47 3 3 2 138
37 9 34 7 52 3 2 1 151
30 9 114 8 66 3 2 2 236
31 8 31 6 45 2 3 1 133
28 9 33 8 56 3 2 2 149
41 8 34 8 45 2 3 2 143
34 12 31 17 51 3 3 3 161
30 13 314 7 50 2 3 3 427
38 13 30 7 60 4 3 3 166
29 13 31 6 45 3 3 2 137
39 9 28 48 44 2 3 2 184
30 9 29 8 56 2 3 2 146
30 37 29 7 47 3 2 3 167
30 15 28 10 49 2 2 2 141
30 8 29 15 62 2 2 2 157
30 11 28 13 50 4 2 4 144
34 19 33 6 46 4 3 3 153
29 8 28 8 46 2 4 3 128
32 10 31 7 48 3 3 3 145
22 8 31 7 66 6 4 2 147
31 9 28 7 47 4 7 2 140
28 9 56 18 47 6 2 1 170
31 9 28 8 106 8 2 2 201
33 10 30 7 46 3 3 8 144
42 10 31 12 43 3 3 3 149
31 10 26 18 47 3 4 3 144
30 8 31 6 44 3 3 2 132
30 7 28 7 53 2 3 3 137
27 7 28 8 49 2 3 7 134
27 7 33 7 45 3 2 3 136
23 8 97 7 47 3 3 2 192
41 8 31 6 46 3 2 3 147
28 8 26 6 51 2 3 3 134
21 9 29 7 57 3 2 3 132
27 8 31 8 75 3 3 1 164
24 8 29 7 49 2 3 2 126
33 8 28 16 46 3 3 2 143
31 7 39 24 46 2 3 2 156
29 8 29 17 47 3 3 3 141
24 9 30 6 46 3 3 2 123
35 9 38 6 47 3 3 2 147
39 8 29 6 46 3 3 3 137
35 8 34 7 46 3 4 3 145
31 7 31 18 86 4 3 3 185
28 8 32 16 46 3 3 2 142
26 9 27 7 46 2 3 3 128
37 8 59 12 48 3 3 2 180
42 8 29 68 77 3 3 4 235
34 8 31 8 50 3 4 3 143
34 8 35 7 75 3 3 2 169
34 9 27 7 51 3 4 3 138
36 9 30 7 47 4 3 4 140
31 7 32 5 52 3 3 3 139
29 9 29 8 49 3 3 2 137
29 9 29 7 44 3 4 2 128
27 9 31 8 46 2 6 3 133
32 8 31 6 45 2 6 1 139
28 8 30 9 46 3 2 5 136
25 9 29 7 73 2 3 2 153
30 8 28 8 47 2 3 5 137
44 8 28 6 49 3 2 3 150
22 8 29 45 44 2 3 3 157
24 8 27 6 49 2 3 2 125
29 9 30 45 49 3 3 3 174
34 9 30 7 49 3 3 4 147
37 11 31 7 45 4 3 4 145
29 8 32 6 46 2 3 2 132
30 9 26 7 48 4 2 3 132
30 8 27 7 43 2 3 3 131
35 10 31 8 48 3 3 2 141
24 8 28 8 56 3 2 2 132
25 7 27 9 46 3 3 2 124
98 9 66 6 44 3 3 2 234
36 10 53 6 55 3 2 1 171
31 9 30 45 48 3 3 3 178
32 9 29 7 46 3 3 2 132
29 9 31 17 80 4 3 3 176
36 8 31 7 98 3 3 2 192
36 9 31 7 47 3 3 3 146
35 9 29 8 99 2 3 2 193
31 10 27 6 46 3 3 4 130
83 10 32 8 46 3 3 10 196
33 13 29 9 45 3 3 3 145
32 9 32 7 104 3 4 3 195
264 9 69 9 51 3 2 2 412
38 8 41 238 59 2 3 2 400
30 9 41 8 51 3 3 2 151
34 10 31 7 49 3 3 2 147
42 9 29 8 44 3 3 18 156
28 8 30 8 48 3 3 3 138
23 10 30 7 50 3 3 2 129
30 12 30 6 53 3 3 2 146
30 24 31 7 47 3 3 3 154
30 9 48 8 44 3 3 3 151
28 9 29 8 47 3 3 2 138
25 8 31 7 46 3 3 3 132
31 10 30 8 48 3 3 3 139
29 8 29 8 57 3 2 2 141
49 9 28 7 46 3 5 10 165
30 9 33 18 49 4 3 7 159
37 10 30 10 48 4 3 4 155
31 13 30 11 48 2 3 3 146
25 9 31 7 47 4 3 2 130
43 12 30 48 47 2 2 2 187
24 15 28 51 46 2 4 2 179
40 10 27 8 45 3 3 4 142
40 9 28 9 45 3 3 1 140
36 8 37 8 49 3 4 3 152
30 8 30 7 58 3 3 2 141
26 9 31 7 45 3 3 4 136
32 10 26 8 47 4 3 3 134
31 9 28 7 45 2 3 2 133
33 8 35 9 45 2 2 2 139
29 9 31 7 45 3 2 3 132
27 10 33 7 46 3 3 2 134
27 8 30 10 49 4 2 3 134
55 9 33 45 63 3 3 3 221
32 8 29 13 102 3 2 2 200
32 9 28 7 51 2 3 3 141
32 9 31 17 51 2 3 2 152
26 8 30 6 49 3 3 1 129
37 9 31 8 46 3 3 4 142
28 9 33 7 91 3 3 3 186
42 10 31 7 44 3 3 2 151
32 9 32 8 46 2 2 2 133
36 7 29 8 45 2 3 1 137
34 7 29 7 43 3 3 2 133
45 13 30 6 51 3 2 2 158
25 7 30 20 47 3 3 2 141
32 8 26 25 46 3 2 2 148
56 10 31 7 46 3 3 2 165
32 9 28 6 47 3 4 2 134
27 8 28 7 49 3 3 3 133
32 7 30 6 45 3 3 2 135
32 9 30 18 53 3 3 4 160
33 8 29 53 58 7 3 3 200
37 9 32 23 49 2 2 5 168
29 9 30 6 48 3 3 4 133
37 9 32 8 45 4 4 4 146
28 8 29 9 45 2 2 3 127
32 10 29 6 46 2 3 2 138
31 9 26 7 43 3 3 2 126
29 43 28 7 42 2 2 2 158
26 8 32 8 46 2 2 3 130
26 8 28 7 49 2 3 2 134
26 9 29 8 45 2 3 2 129
31 9 189 8 48 3 3 2 302
28 86 28 7 45 2 3 3 207
29 9 30 7 55 2 3 3 143
23 8 30 8 102 3 3 3 183
30 9 28 7 48 3 2 2 133
30 8 28 7 47 2 3 3 129
28 8 30 6 77 3 2 2 158
39 9 31 7 64 2 3 2 162
28 11 29 7 88 2 3 2 174
25 10 28 8 44 4 3 3 133
32 9 28 7 73 3 3 2 157
31 8 27 6 51 3 2 1 130
32 9 29 6 46 2 3 3 135
34 8 33 6 46 3 2 3 136
35 8 29 6 80 3 3 2 175
42 17 32 7 47 2 4 2 161
49 9 31 7 47 3 3 3 158
263 10 32 7 47 3 3 3 368
38 9 29 7 47 3 2 2 139
32 10 29 7 47 3 2 2 135
39 8 29 6 44 3 3 2 143
31 8 27 8 46 3 3 3 129
38 8 29 10 49 3 3 3 145
33 8 30 19 49 3 2 3 147
88 8 32 8 46 4 3 4 199
41 11 27 7 48 3 7 4 157
51 8 31 17 50 4 3 4 169
33 37 31 8 49 3 3 3 168
37 9 28 7 56 3 4 3 150
36 9 28 7 47 4 3 18 156
34 8 28 6 75 3 3 2 161
31 10 27 8 45 3 3 2 132
21 9 29 9 47 3 2 3 131
22 7 32 8 45 2 2 2 120
22 9 30 31 52 3 4 2 161
22 9 30 7 50 4 3 2 136
24 9 54 7 69 3 3 2 173
22 7 30 6 49 3 2 3 123
23 9 27 7 71 2 3 3 146
27 9 34 8 48 3 3 3 144
22 9 28 6 47 2 3 2 128
23 9 29 6 48 3 2 2 127
34 9 32 8 55 2 2 3 153
30 9 31 8 48 3 3 2 141
32 8 28 6 46 3 3 2 130
36 9 29 8 47 3 3 3 145
29 9 48 9 51 2 3 2 154
28 11 29 44 77 3 3 3 199
30 8 28 8 46 3 3 3 138
41 8 28 7 45 2 3 2 145
27 8 34 9 91 3 3 3 184
31 8 36 7 47 4 3 3 145
65 10 31 8 50 4 4 3 180
37 9 30 13 47 4 3 3 149
42 9 31 17 50 2 4 2 163
41 9 32 9 49 4 3 2 158
31 10 31 11 47 3 3 3 144
26 39 105 7 49 3 2 3 241
51 11 40 8 45 3 3 2 169
30 8 33 6 47 2 3 3 138
25 66 28 8 48 3 4 2 192
26 8 29 17 78 3 3 2 175
25 9 30 17 49 3 2 2 139
23 9 29 17 46 3 2 3 138
30 8 32 6 47 3 2 3 139
29 9 29 8 45 3 3 3 135
29 9 32 22 46 3 2 3 153
31 10 31 8 59 3 7 3 154
34 10 30 6 45 2 3 5 136
32 9 30 6 46 4 3 4 140
30 9 29 17 50 3 3 3 151
26 9 31 8 46 3 3 2 134
27 10 26 6 84 3 3 3 171
34 12 46 7 50 3 4 2 160
29 8 31 8 45 2 3 2 128
38 10 32 17 51 3 4 3 162
32 8 31 7 56 2 3 3 151
27 8 44 7 46 2 3 3 142
32 7 29 7 46 3 4 3 138
30 11 30 7 51 3 3 2 139
27 8 32 7 49 2 3 2 132
27 7 30 6 46 3 3 2 132
40 9 29 9 48 4 4 3 147
43 8 29 7 47 2 3 2 148
39 34 27 7 48 2 3 2 163
42 9 33 8 50 3 4 3 153
40 12 33 8 47 4 2 3 154
27 12 33 18 58 3 4 2 163
153 10 41 8 49 3 3 3 274
37 17 28 7 57 4 4 3 165
26 11 33 8 64 2 4 2 155
40 8 30 18 46 3 4 3 157
30 10 30 7 45 3 4 3 134
28 8 31 81 62 3 2 3 222
70 10 31 8 49 5 4 3 189
25 9 32 7 86 3 3 2 170
26 9 25 7 53 2 2 3 135
27 8 28 9 115 3 3 3 205
28 9 50 7 45 2 3 2 146
22 10 35 7 48 3 2 2 138
119 9 90 16 48 3 2 4 298
93 10 32 8 45 3 3 2 197
33 8 27 7 51 2 3 2 141
38 31 29 8 47 3 3 3 164
24 9 50 7 45 2 3 1 146
25 8 36 8 47 2 3 3 137
28 10 28 7 80 3 2 3 169
24 8 27 7 51 2 2 2 126
35 10 30 7 44 3 3 3 136
27 14 33 6 46 2 3 2 138
27 8 27 6 131 3 2 2 213
27 8 33 16 68 3 2 3 164
30 8 32 6 76 3 3 2 166
34 9 25 7 43 3 2 3 135
35 9 74 8 43 2 3 3 183
32 8 30 40 85 3 2 3 207
43 9 31 7 44 4 4 3 148
37 9 31 8 45 3 4 3 140
30 9 31 8 47 3 2 2 134
35 9 26 8 57 3 3 3 144
33 11 28 24 45 4 3 4 152
103 10 30 7 47 2 2 2 208
26 9 34 69 46 3 2 2 194
25 7 27 6 42 3 2 2 123
25 10 31 7 45 3 3 1 133
39 9 32 7 74 2 3 2 175
26 9 26 6 45 8 3 3 131
23 8 27 7 44 3 2 5 122
25 9 29 16 56 4 3 4 154
25 7 28 7 48 3 3 3 133
34 38 27 7 45 4 2 3 165
25 9 28 7 72 2 3 2 153
31 8 28 7 44 3 3 4 130
27 8 27 8 44 3 2 2 127
25 8 27 7 44 4 2 2 128
28 9 30 7 47 3 2 3 130
30 8 31 6 48 2 3 2 136
24 8 32 6 90 2 3 2 173
27 9 110 8 81 3 2 2 251
31 8 30 7 75 3 3 3 167
34 8 60 6 53 3 3 2 174
29 8 27 7 43 3 3 4 133
33 24 31 6 44 3 3 3 156
25 13 39 7 47 3 2 2 147
22 8 27 6 45 2 4 4 124
36 8 37 16 87 2 3 2 198
31 7 27 6 47 4 2 2 126
31 7 26 9 65 2 3 2 150
28 52 27 17 49 2 3 3 188
35 8 62 7 42 2 3 2 163
35 54 32 7 46 3 3 2 184
31 9 58 16 53 3 4 3 178
29 8 27 7 50 2 3 2 129
27 7 55 7 65 2 3 3 171
27 11 31 6 49 3 3 2 140
26 13 28 6 46 3 2 1 134
25 12 30 7 47 3 3 3 132
25 8 30 8 44 3 3 1 123
27 9 28 11 46 3 3 2 133
30 9 28 10 59 3 3 2 147
35 12 29 6 69 3 2 2 160
25 9 28 9 45 2 3 2 125
27 8 29 7 50 2 2 1 135
27 7 27 6 43 3 3 1 126
43 8 30 39 43 3 3 3 172
28 9 26 6 42 3 3 3 123
32 8 28 8 44 3 7 4 141
33 8 40 9 60 3 2 3 167
31 8 87 8 43 4 2 2 192
23 7 28 7 49 3 2 3 127
24 9 31 7 66 3 2 2 149
30 9 28 7 48 3 3 4 139
31 9 82 7 50 3 3 2 188
29 8 30 6 52 3 3 3 138
23 8 30 6 48 3 2 3 125
26 8 29 9 45 2 4 2 133
32 8 33 7 79 2 3 2 170
27 9 30 8 44 2 3 9 134
55 9 28 7 49 2 3 3 163
25 9 30 6 48 3 3 1 127
24 8 29 7 46 3 3 1 127
31 10 67 7 51 3 3 1 179
33 11 28 8 47 3 3 2 136
33 9 30 7 48 3 2 3 135
28 9 28 6 47 2 3 2 134
29 9 29 6 49 3 3 2 130
31 9 29 7 48 2 3 2 136
25 9 28 7 47 3 3 3 125
25 10 28 8 46 3 3 2 125
24 10 29 7 46 3 3 2 128
30 9 31 7 77 3 2 3 166
28 8 27 8 75 3 2 3 155
33 10 28 7 47 3 3 3 136
31 8 31 7 46 3 2 2 137
39 9 89 7 61 3 2 2 221
38 28 35 7 45 3 3 3 167
29 9 29 8 50 4 2 3 143
30 9 28 8 44 3 3 2 133
34 10 29 7 47 4 4 1 145
38 10 32 7 47 4 3 4 146
36 10 31 6 47 3 3 3 145
29 9 31 7 45 4 3 3 132
31 10 32 12 79 3 2 2 180
22 8 29 6 74 3 2 2 155
25 9 27 7 50 2 3 3 127
24 9 27 6 47 3 2 2 120
30 9 29 7 49 2 3 2 140
25 9 30 7 49 2 3 3 135
26 8 26 7 49 2 3 2 129
23 9 29 7 48 3 2 3 124
27 9 75 8 48 4 3 2 179
28 9 124 7 48 3 3 2 233
123 9 31 7 91 3 2 2 269
24 9 29 7 45 4 3 5 134
24 9 29 6 50 3 2 2 134
26 8 30 8 46 3 3 2 126
27 9 30 6 48 2 3 2 130
28 7 30 7 46 2 2 2 130
25 8 27 7 43 2 2 2 119
27 8 27 6 45 8 2 2 130
70 8 28 7 46 3 3 2 170
30 8 32 7 51 3 7 2 147
26 9 30 7 48 4 3 3 130
39 10 31 7 61 3 3 2 163
26 9 31 69 47 3 2 2 189
32 9 30 7 44 4 3 4 140
28 9 30 8 45 4 4 4 139
41 9 32 8 48 4 3 2 156
35 9 29 8 54 3 3 3 146
31 9 30 6 46 3 3 3 131
29 9 31 7 44 3 2 3 129
32 8 27 6 48 3 3 3 130
53 10 31 8 48 3 3 3 160
23 8 39 17 92 3 2 2 192
25 10 28 7 48 2 3 2 133
38 7 29 9 45 3 3 2 139
76 8 30 7 50 2 3 2 184
40 9 29 6 47 2 2 2 142
34 9 29 7 45 3 2 3 134
35 32 26 7 47 3 2 2 158
32 6 45 7 47 2 3 2 152
35 13 48 7 74 2 3 3 190
34 10 53 8 97 2 3 2 211
74 8 32 16 49 3 3 3 195
36 9 30 8 46 3 3 3 142
32 8 30 5 44 3 2 2 129
33 9 30 6 44 2 3 3 136
32 8 31 6 62 3 3 3 155
28 8 29 6 45 3 2 3 127
39 9 27 8 81 4 3 19 196
37 9 29 7 44 4 3 3 144
31 10 30 8 47 3 3 3 142
29 10 30 12 46 3 3 2 143
27 9 31 7 63 4 3 3 152
31 10 65 7 46 3 3 1 175
38 9 36 7 46 7 4 4 155
52 9 31 7 46 4 4 3 158
43 8 36 18 45 3 3 3 164
25 11 30 17 47 2 3 2 137
76 9 28 8 77 3 2 1 213
22 8 29 7 46 3 3 4 128
23 7 33 8 60 2 3 2 140
36 8 76 7 46 3 2 3 189
25 11 29 8 48 3 3 2 129
27 8 32 6 47 2 3 2 130
30 9 30 15 74 2 3 2 166
25 8 29 7 43 2 3 2 126
25 8 30 17 77 3 2 2 172
27 9 28 16 73 3 2 3 167
30 9 28 7 48 3 3 3 139
27 10 33 16 46 2 3 2 143
38 9 30 7 48 3 2 3 147
27 9 31 7 45 4 2 2 129
25 9 27 9 47 3 3 1 126
37 7 31 16 55 2 3 3 157
33 8 45 6 49 4 3 2 154
30 9 32 7 45 2 3 2 130
33 8 31 18 48 3 3 2 153
32 8 30 6 46 3 3 2 133
34 9 46 7 55 3 3 3 163
35 10 316 16 50 3 3 3 444
34 9 30 7 46 2 3 3 142
68 8 30 35 44 3 2 3 201
31 26 128 7 47 3 2 2 246
31 8 32 8 46 3 2 2 133
31 65 33 7 96 3 3 3 243
35 9 36 8 48 3 3 3 146
30 9 31 8 48 3 2 2 135
44 9 32 8 49 3 3 2 152
40 9 33 8 46 3 3 2 146
33 10 28 7 44 2 3 2 132
27 8 29 7 48 3 3 2 130
34 9 30 7 47 4 2 3 140
29 8 31 17 45 2 3 2 143
30 13 29 7 46 3 3 2 135
32 9 65 8 98 3 4 2 224
30 9 30 16 52 2 2 3 145
32 9 30 10 46 3 3 1 134
33 10 55 7 47 4 3 3 169
31 10 34 8 48 3 3 3 146
28 18 30 18 45 4 3 3 152
30 11 27 9 48 3 2 3 137
29 26 30 7 47 7 3 2 158
24 8 29 7 47 2 3 5 129
27 13 32 6 50 3 3 3 140
33 8 29 7 75 4 2 3 164
33 8 27 7 47 4 2 3 137
89 9 26 7 44 2 3 2 186
32 10 28 6 49 2 4 2 136
32 9 28 8 77 3 2 2 162
33 8 31 7 45 2 3 2 134
28 7 31 7 75 3 2 2 161
26 9 28 6 72 2 3 2 152
26 8 29 7 46 2 2 3 128
28 9 28 16 49 5 4 2 143
24 8 28 16 46 3 3 2 133
30 34 30 16 75 3 3 2 195
26 7 27 7 47 4 3 3 128
26 8 26 7 44 3 3 3 129
23 8 27 6 44 2 2 2 115
22 8 27 7 48 4 3 2 125
23 7 28 6 43 3 2 3 115
26 7 27 6 44 2 3 2 117
28 7 30 6 43 3 2 2 122
23 8 27 7 54 3 3 2 133
28 8 26 7 75 3 3 2 154
30 7 29 8 45 2 3 2 130
34 8 30 7 45 2 3 3 137
23 8 28 9 46 2 3 3 123
34 8 29 23 46 3 3 3 150
27 8 46 6 45 2 3 3 145
30 9 30 8 45 4 3 3 137
36 8 34 7 85 2 3 4 183
32 9 28 7 47 3 2 2 138
33 8 31 6 48 4 3 3 141
32 7 30 16 45 3 3 3 148
31 8 31 6 49 3 2 2 141
28 8 29 8 45 2 3 3 128
26 8 31 6 42 4 2 3 122
29 8 31 7 75 3 3 2 165
27 7 29 6 42 3 3 2 124
34 8 27 6 50 3 2 2 139
29 9 26 7 44 3 3 3 130
29 7 33 6 49 2 3 2 138
27 9 26 7 49 2 3 2 133
29 7 31 8 74 3 2 2 162
27 8 27 8 46 3 2 2 126
33 8 28 8 48 7 2 3 144
27 7 28 7 49 2 3 2 125
38 7 30 8 75 3 3 2 175
34 8 27 7 44 2 3 2 134
25 9 31 7 45 2 2 2 131
29 8 31 7 45 3 2 8 135
32 7 29 7 42 3 2 2 133
32 31 29 7 72 3 3 2 179
29 9 29 15 47 3 2 14 148
39 9 30 16 46 3 2 2 148
31 9 31 7 46 3 2 3 137
30 8 29 7 67 2 3 2 150
34 8 29 8 46 3 2 2 140
34 9 31 7 47 3 2 3 140
29 8 30 10 75 2 3 2 167
29 8 32 6 47 3 2 2 130
30 10 32 7 45 3 3 2 137
32 7 85 62 46 2 3 2 246
33 8 28 40 46 3 3 3 166
39 9 30 8 45 3 3 2 141
26 13 30 8 49 4 3 3 139
27 10 29 6 46 4 3 3 133
26 9 31 18 87 3 3 2 183
25 9 31 7 46 3 2 1 129
29 8 25 6 44 3 3 3 129
21 8 28 6 72 3 3 3 153
42 7 28 7 60 3 2 2 154
32 7 28 6 45 4 4 3 138
23 9 31 8 73 4 4 2 156
25 8 28 8 45 3 2 2 127
29 7 28 5 68 3 2 2 148
100 9 31 7 47 2 3 4 210
27 10 30 6 75 3 2 2 163
29 10 29 7 50 4 4 3 144
27 9 30 7 46 3 2 2 126
31 7 28 7 47 3 3 3 134
29 8 28 7 46 3 2 3 129
32 8 95 7 46 3 4 3 206
29 9 28 7 45 3 3 2 133
48 9 27 8 46 3 3 2 150
43 8 28 7 44 3 2 3 140
30 7 27 7 47 3 2 2 131
27 9 41 6 44 2 3 1 140
28 7 35 6 46 2 2 2 132
35 16 28 7 48 2 3 2 144
32 8 30 18 74 3 3 2 176
27 10 61 6 46 3 2 2 164
27 8 37 7 48 3 2 2 137
36 9 29 8 48 2 3 2 146
30 8 35 11 46 3 3 1 146
29 8 30 8 45 3 3 3 135
35 12 29 8 44 4 4 2 139
35 9 29 7 45 3 3 3 136
28 8 27 7 73 4 3 2 153
29 9 31 7 96 4 3 3 183
38 8 30 8 78 2 3 3 175
35 8 31 6 43 3 2 3 134
36 9 29 6 44 3 2 3 134
32 7 30 6 51 3 2 2 137
30 10 66 6 48 3 3 2 168
28 8 29 6 74 2 3 2 154
31 9 52 7 43 3 2 2 151
25 8 27 7 112 3 3 3 194
33 9 29 7 78 3 3 2 166
34 8 33 6 45 2 2 2 134
37 9 29 6 71 3 3 2 169
28 9 31 6 47 3 3 2 137
28 7 26 33 48 2 3 2 158
28 8 29 7 43 2 3 2 122
32 8 40 6 77 3 2 2 170
38 10 28 8 81 3 4 3 178
23 11 40 8 45 2 3 2 139
30 10 30 7 75 2 3 3 169
23 12 26 7 44 2 2 2 125
90 9 63 12 60 3 3 3 243
30 8 30 10 41 3 2 2 130
35 14 87 6 43 2 3 3 201
36 10 28 7 48 3 3 4 146
32 10 32 7 47 4 3 4 145
39 10 43 18 45 7 4 4 171
37 8 28 7 51 3 3 2 145
30 9 30 8 45 3 4 3 140
37 10 29 8 48 4 3 3 146
24 10 27 7 48 3 3 1 127
35 8 29 7 49 3 3 2 141
29 9 37 7 47 3 2 2 145
28 9 31 7 44 2 3 2 126
27 9 29 54 45 3 2 3 179
25 8 35 7 44 2 3 2 135
23 8 93 7 86 3 2 2 228
22 8 32 7 74 2 3 2 155
45 12 28 6 46 3 3 3 150
29 8 29 10 46 3 2 2 131
25 7 27 6 45 2 3 2 117
101 7 32 6 48 3 2 2 201
29 9 28 6 48 3 3 2 132
33 9 28 7 44 2 2 2 136
23 9 29 7 72 2 3 2 148
31 8 27 7 79 3 2 2 161
27 7 27 6 51 3 3 3 131
23 8 27 6 47 3 2 2 125
22 9 30 7 78 3 2 2 161
23 8 28 6 45 2 2 2 116
24 9 62 90 51 3 3 1 248
27 8 27 6 47 2 3 2 128
26 9 27 6 44 3 2 2 119
27 9 26 9 45 2 3 2 130
22 8 29 7 89 2 3 2 163
24 41 30 42 42 3 3 2 188
28 8 69 9 45 3 2 2 174
25 8 27 8 60 4 3 4 146
38 37 34 8 72 4 3 4 207
24 9 32 8 46 2 3 4 133
36 29 31 20 48 3 3 3 173
23 9 32 7 47 3 4 3 136
34 10 28 7 44 2 2 3 137
31 9 30 7 46 3 4 3 133
28 9 32 6 107 3 3 3 192
37 9 30 16 54 4 3 3 165
86 9 28 6 47 3 3 2 186
28 8 27 15 50 3 3 1 142
30 8 28 7 74 3 3 2 158
32 8 28 7 43 3 2 2 129
27 9 27 11 42 3 2 3 127
27 8 27 6 49 3 2 2 133
102 8 30 16 49 2 3 2 217
41 9 29 7 50 3 3 2 151
27 8 29 7 47 3 3 2 132
30 10 28 7 48 4 3 3 140
25 10 29 6 47 2 2 2 125
27 8 30 10 72 3 2 2 154
99 8 28 6 49 3 3 2 205
24 8 26 7 47 3 2 3 126
32 8 27 18 61 3 3 3 160
24 9 27 7 43 3 3 2 118
28 9 25 8 45 3 3 3 126
33 9 26 6 76 3 4 6 163
28 9 27 7 45 3 3 4 134
29 8 33 6 43 3 7 3 136
27 8 27 6 47 4 2 6 135
40 8 46 6 48 3 2 3 163
24 7 27 6 44 3 3 2 122
25 7 27 6 48 3 2 1 123
25 14 29 6 72 3 3 3 161
74 7 27 6 43 3 3 2 174
40 8 30 7 44 4 3 3 143
21 8 26 6 46 3 3 2 115
23 7 25 5 48 2 2 2 122
27 7 44 19 64 3 2 2 176
26 8 29 6 46 2 2 2 128
30 8 28 7 43 3 2 3 133
24 10 28 6 43 3 3 4 128
31 7 26 16 73 2 3 2 164
25 8 78 17 49 3 2 3 185
24 9 27 7 46 2 3 2 126
23 8 29 7 45 2 3 2 125
24 8 30 7 47 3 3 3 133
25 7 33 23 50 2 3 3 153
35 86 30 9 53 3 2 3 223
27 7 35 9 48 2 2 3 133
28 8 29 7 49 3 2 3 138
25 9 29 8 47 2 3 2 132
33 8 29 6 44 3 3 2 137
85 9 30 8 98 2 3 2 240
34 8 28 81 46 3 3 3 210
33 8 28 7 44 3 3 3 129
34 26 31 18 45 3 3 3 163
32 11 27 7 48 3 3 3 141
40 10 27 7 55 3 3 2 154
33 8 33 8 49 3 3 3 147
37 8 28 7 98 4 2 3 191
40 10 28 8 62 3 3 3 162
31 9 30 7 50 2 3 3 138
30 9 29 6 45 2 3 2 130
30 10 29 18 47 2 3 2 148
30 9 48 10 78 3 3 2 186
25 9 30 7 48 3 3 3 129
34 8 30 6 45 2 3 2 135
34 8 28 7 48 3 2 2 133
31 9 28 7 45 2 2 3 132
30 11 30 6 49 3 3 2 141
31 11 32 8 45 2 3 2 143
29 8 32 18 47 3 3 2 148
25 12 30 6 48 2 2 2 130
25 8 29 20 47 2 3 2 144
34 10 30 6 50 3 3 3 139
27 8 26 7 52 3 3 2 135
29 8 38 22 48 3 2 1 154
25 9 30 39 50 3 2 3 167
30 8 30 7 46 3 3 2 135
34 10 31 8 70 3 2 2 165
28 8 28 7 48 3 2 2 126
32 9 27 6 58 3 3 3 148
29 9 27 6 46 3 2 2 125
24 8 31 6 48 3 2 2 125
29 9 58 7 45 3 2 3 157
27 8 28 7 44 2 3 2 125
28 8 30 6 68 3 2 2 151
31 8 30 17 48 3 2 3 145
33 10 27 7 47 4 3 3 134
26 9 52 17 65 3 2 2 182
28 7 29 17 45 3 3 1 137
27 8 28 7 43 3 7 2 128
27 8 30 9 46 4 4 5 141
31 9 29 8 45 3 4 3 138
38 9 29 6 46 3 4 2 145
35 7 29 8 56 3 3 3 145
29 9 30 8 43 2 3 2 130
33 8 104 6 43 3 2 2 205
27 7 29 8 46 4 2 2 133
32 7 25 7 45 2 3 2 128
25 8 51 6 47 2 3 2 153
33 8 29 7 45 3 2 3 135
24 7 32 7 45 3 3 2 130
26 8 33 17 47 2 3 3 147
22 7 30 7 47 2 2 2 125
24 9 28 8 78 4 2 3 164
31 9 28 6 44 3 2 3 132
25 8 28 7 69 3 2 3 148
26 8 27 6 45 4 2 2 123
23 8 28 15 72 3 3 2 163
88 120 87 18 73 2 3 3 401
24 9 27 6 47 3 2 2 122
22 8 27 7 42 2 3 2 122
24 9 26 10 44 2 3 3 130
25 9 37 7 43 3 2 2 137
22 8 25 16 45 3 2 2 128
24 9 27 16 49 3 2 2 133
24 8 28 6 43 3 2 2 124
30 8 28 7 45 3 2 2 131
28 8 28 7 44 3 2 2 130
28 8 30 7 45 2 3 2 131
25 8 29 6 45 2 2 3 127
27 7 29 7 46 3 2 2 127
24 9 27 6 75 3 3 2 154
27 9 28 8 45 3 3 2 127
26 52 26 16 74 4 4 3 211
38 8 28 6 44 4 4 4 145
31 8 27 8 74 3 4 3 167
38 7 27 17 44 3 3 4 147
33 7 27 6 76 4 3 3 167
33 7 29 7 48 4 3 4 139
37 63 30 7 61 4 4 2 208
36 13 28 7 47 3 4 2 145
26 10 28 6 47 3 3 3 131
23 8 28 7 48 3 2 2 121
27 8 32 7 51 3 3 2 137
25 53 28 6 47 3 2 2 169
22 6 29 16 46 2 3 2 129
22 7 32 7 44 3 3 3 125
27 8 27 6 80 2 3 2 160
25 7 28 17 48 2 3 2 137
25 7 27 7 48 3 3 2 129
26 10 28 7 45 2 3 2 128
28 8 28 7 48 4 3 3 135
24 9 33 7 47 3 3 2 131
