2016-08-12 15:23:55,469 [main]  INFO RootsEnvironment Initializing Roots environment.
2016-08-12 15:23:55,487 [main]  INFO FileConfigLoader Loading data store from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/dataStores/elk.properties
2016-08-12 15:23:55,508 [main]  INFO FileConfigLoader Loading data store from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/dataStores/default.properties
2016-08-12 15:23:55,633 [main]  INFO FileConfigLoader Loading benchmark from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/benchmarks/javabook.properties
2016-08-12 15:23:55,658 [main]  INFO BenchmarkingService Scheduled job for: javabook [Benchmark]
2016-08-12 15:23:55,658 [main]  INFO AnomalyLogger Initializing AnomalyLogger
2016-08-12 15:23:55,670 [main]  INFO FileConfigLoader Loading detector from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/detectors/javabook.properties
2016-08-12 15:23:57,496 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 16.0, 25.0]
2016-08-12 15:23:57,497 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 20.0]
2016-08-12 15:23:57,497 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 21.0]
2016-08-12 15:23:57,498 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 15.0, 26.0]
2016-08-12 15:23:57,506 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 22.0]
2016-08-12 15:23:57,506 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 15.0, 23.0]
2016-08-12 15:23:57,507 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 12.0, 21.0]
2016-08-12 15:23:57,507 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 12.0, 19.0]
2016-08-12 15:23:57,515 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 22.0]
2016-08-12 15:23:57,516 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 15.0, 21.0]
2016-08-12 15:23:57,516 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 20.0]
2016-08-12 15:23:57,517 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 12.0, 20.0]
2016-08-12 15:23:57,525 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 13.0, 23.0]
2016-08-12 15:23:57,525 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 20.0]
2016-08-12 15:23:57,526 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 9.0, 16.0]
2016-08-12 15:23:57,527 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 9.0, 16.0]
2016-08-12 15:23:57,534 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 9.0, 17.0]
2016-08-12 15:23:57,535 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 20.0]
2016-08-12 15:23:57,536 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 19.0]
2016-08-12 15:23:57,536 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 20.0, 28.0]
2016-08-12 15:23:57,546 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 21.0]
2016-08-12 15:23:57,547 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 24.0]
2016-08-12 15:23:57,548 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 16.0, 25.0]
2016-08-12 15:23:57,549 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 22.0]
2016-08-12 15:23:57,558 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 20.0]
2016-08-12 15:23:57,558 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 14.0, 22.0]
2016-08-12 15:23:57,559 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 21.0]
2016-08-12 15:23:57,560 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 13.0, 24.0]
2016-08-12 15:23:57,568 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 20.0]
2016-08-12 15:23:57,569 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 17.0, 24.0]
2016-08-12 15:23:57,569 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 14.0, 25.0]
2016-08-12 15:23:57,570 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 12.0, 21.0]
2016-08-12 15:23:57,578 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 17.0, 27.0]
2016-08-12 15:23:57,579 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 15.0, 24.0]
2016-08-12 15:23:57,579 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 21.0]
2016-08-12 15:23:57,580 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 19.0]
2016-08-12 15:23:57,588 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 12.0, 20.0]
2016-08-12 15:23:57,588 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 21.0]
2016-08-12 15:23:57,589 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 22.0]
2016-08-12 15:23:57,589 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 25.0] (skipped)
2016-08-12 15:23:57,599 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 17.0, 24.0]
2016-08-12 15:23:57,600 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 22.0]
2016-08-12 15:23:57,601 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 21.0]
2016-08-12 15:23:57,602 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 18.0, 26.0]
