 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT   
49152.0 59392.0 39680.0  0.0   219136.0 73724.5   201216.0   166469.4  15744.0 15115.0 1920.0 1711.9     24    1.363   3      1.597    2.960
49152.0 59392.0 39680.0  0.0   219136.0 198102.2  201216.0   166469.4  15744.0 15115.0 1920.0 1711.9     24    1.363   3      1.597    2.960
64000.0 48640.0  0.0   48352.0 219136.0 192769.9  201216.0   166469.4  15744.0 15115.0 1920.0 1711.9     25    1.415   3      1.597    3.012
64000.0 70656.0 56352.0  0.0   196608.0 73012.5   201216.0   166469.4  15744.0 15115.0 1920.0 1711.9     26    1.475   3      1.597    3.072
64000.0 70656.0 56352.0  0.0   196608.0 151221.3  201216.0   166469.4  15744.0 15115.0 1920.0 1711.9     26    1.475   3      1.597    3.072
64000.0 70656.0 56352.0  0.0   196608.0 194551.6  201216.0   166469.4  15744.0 15115.0 1920.0 1711.9     26    1.475   3      1.597    3.072
76800.0 64512.0  0.0   64320.0 196608.0 66276.3   201216.0   166469.4  15744.0 15118.8 1920.0 1712.3     27    1.568   3      1.597    3.165
76800.0 64512.0  0.0   64320.0 196608.0 121495.7  201216.0   166469.4  15744.0 15118.8 1920.0 1712.3     27    1.568   3      1.597    3.165
76800.0 64512.0  0.0   64320.0 196608.0 176705.1  201216.0   166469.4  15744.0 15118.8 1920.0 1712.3     27    1.568   3      1.597    3.165
76800.0 88064.0 71872.0  0.0   161792.0 28703.5   201216.0   166469.4  15744.0 15119.5 1920.0 1712.8     28    1.651   3      1.597    3.248
76800.0 88064.0 71872.0  0.0   161792.0 73047.8   201216.0   166469.4  15744.0 15119.5 1920.0 1712.8     28    1.651   3      1.597    3.248
76800.0 88064.0 71872.0  0.0   161792.0 109233.9  201216.0   166469.4  15744.0 15119.5 1920.0 1712.8     28    1.651   3      1.597    3.248
76800.0 88064.0 71872.0  0.0   161792.0 141020.3  201216.0   166469.4  15744.0 15119.5 1920.0 1712.8     28    1.651   3      1.597    3.248
97280.0 78848.0  0.0   78624.0 161792.0  4702.7   201216.0   166469.4  15744.0 15119.5 1920.0 1712.8     29    1.731   3      1.597    3.328
97280.0 78848.0  0.0   78624.0 161792.0 31030.0   201216.0   166469.4  15744.0 15119.5 1920.0 1712.8     29    1.731   3      1.597    3.328
97280.0 78848.0  0.0   78624.0 161792.0 112654.6  201216.0   166469.4  15744.0 15119.5 1920.0 1712.8     29    1.731   3      1.597    3.328
105472.0 109056.0 47232.0  0.0   112640.0 80496.5   289792.0   222359.6  15744.0 15119.5 1920.0 1712.8     34    2.225   4      2.874    5.099
98816.0 101888.0  0.0   16608.0 131584.0 75683.9   388608.0   287938.3  15744.0 15120.2 1920.0 1713.3     41    2.527   5      3.887    6.414
77312.0 79872.0 43072.0  0.0   160768.0  3221.6   388608.0   287938.3  15744.0 15127.9 1920.0 1714.2     46    2.768   5      3.887    6.655
77312.0 79872.0 43072.0  0.0   160768.0 109746.1  388608.0   287938.3  15744.0 15127.9 1920.0 1714.2     46    2.768   5      3.887    6.655
78848.0 79872.0  0.0   43968.0 160768.0 72539.7   388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     47    2.823   5      3.887    6.709
78848.0 79872.0  0.0   43968.0 160768.0 110640.6  388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     47    2.823   5      3.887    6.709
78848.0 79872.0  0.0   43968.0 160768.0 139811.0  388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     47    2.823   5      3.887    6.709
78848.0 79872.0  0.0   43968.0 160768.0 157389.2  388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     47    2.823   5      3.887    6.709
74752.0 77824.0 44864.0  0.0   169472.0 16698.4   388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     48    2.907   5      3.887    6.794
74752.0 77824.0 44864.0  0.0   169472.0 31592.0   388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     48    2.907   5      3.887    6.794
74752.0 77824.0 44864.0  0.0   169472.0 54461.1   388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     48    2.907   5      3.887    6.794
74752.0 77824.0 44864.0  0.0   169472.0 76765.2   388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     48    2.907   5      3.887    6.794
74752.0 77824.0 44864.0  0.0   169472.0 129539.6  388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     48    2.907   5      3.887    6.794
74752.0 77824.0 44864.0  0.0   169472.0 153474.4  388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     48    2.907   5      3.887    6.794
76800.0 77824.0  0.0   45088.0 169472.0  6675.9   388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     49    2.980   5      3.887    6.866
76800.0 77824.0  0.0   45088.0 169472.0 18160.3   388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     49    2.980   5      3.887    6.866
76800.0 77824.0  0.0   45088.0 169472.0 34674.3   388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     49    2.980   5      3.887    6.866
76800.0 77824.0  0.0   45088.0 169472.0 72127.3   388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     49    2.980   5      3.887    6.866
76800.0 77824.0  0.0   45088.0 169472.0 90477.2   388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     49    2.980   5      3.887    6.866
76800.0 77824.0  0.0   45088.0 169472.0 109498.8  388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     49    2.980   5      3.887    6.866
76800.0 77824.0  0.0   45088.0 169472.0 127789.4  388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     49    2.980   5      3.887    6.866
76800.0 77824.0  0.0   45088.0 169472.0 144644.4  388608.0   287938.3  15744.0 15129.0 1920.0 1714.7     49    2.980   5      3.887    6.866
