11:19:52 AM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
11:24:25 AM  1000     27717   61.33    4.33    0.00   65.67     1  java
11:24:28 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:24:31 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:24:34 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:24:37 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:24:40 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:24:43 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:24:46 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:24:49 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:24:52 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:24:55 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:24:58 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:25:01 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:04 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:07 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:25:10 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:13 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:25:16 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:19 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:25:22 AM  1000     27717    1.67    0.33    0.00    2.00     1  java
11:25:25 AM  1000     27717   49.00    5.00    0.00   54.00     1  java
11:25:28 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:31 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:34 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:25:37 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:25:40 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:43 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:25:46 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:49 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:52 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:25:55 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:58 AM  1000     27717    0.33    0.33    0.00    0.67     1  java
11:26:01 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:26:04 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:26:07 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:26:10 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:26:13 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:26:16 AM  1000     27717    0.33    0.33    0.00    0.67     1  java
11:26:19 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:26:22 AM  1000     27717    1.33    1.33    0.00    2.67     1  java
11:26:25 AM  1000     27717   60.67    5.00    0.00   65.67     1  java
11:26:28 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:26:31 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:26:34 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:26:37 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:26:40 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:26:43 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:26:46 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:26:49 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:26:52 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:26:55 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:26:58 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:27:01 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:27:04 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:27:07 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:27:10 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:27:13 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:27:16 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:27:19 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:27:22 AM  1000     27717    2.33    2.00    0.00    4.33     1  java
11:27:25 AM  1000     27717   29.00    5.00    0.00   34.00     1  java
11:27:28 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:27:31 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:27:34 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:27:37 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:27:40 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:27:43 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:27:47 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:27:50 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:27:53 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:27:56 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:27:59 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:28:02 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:28:05 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:28:08 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:28:10 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:28:13 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:28:17 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:28:19 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:28:22 AM  1000     27717    3.00    0.67    0.00    3.67     1  java
11:28:25 AM  1000     27717   23.67    4.33    0.00   28.00     1  java
11:28:29 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:28:32 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:28:34 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:28:38 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:28:40 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:28:44 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:28:47 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:28:50 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:28:53 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:28:56 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:28:59 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:29:01 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:29:05 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:29:08 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:29:10 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:29:14 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:29:16 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:29:20 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:29:22 AM  1000     27717    1.33    0.67    0.00    2.00     1  java
11:29:26 AM  1000     27717   58.67    4.00    0.00   62.67     1  java
11:29:29 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:29:32 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:29:34 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:29:38 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:29:40 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:29:44 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:29:46 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:29:50 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:29:53 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:29:56 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:29:59 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:30:02 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:30:05 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:30:08 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:30:10 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:30:13 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:30:17 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:30:20 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:30:22 AM  1000     27717    2.67    1.00    0.00    3.67     1  java
11:30:26 AM  1000     27717   16.33    2.33    0.00   18.67     1  java
11:30:29 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:30:32 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:30:35 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:30:38 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:30:41 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:30:44 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:30:47 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:30:50 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:30:53 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:30:56 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:30:59 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:31:02 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:31:05 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:31:08 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:31:11 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:31:14 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:31:17 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:31:20 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:31:23 AM  1000     27717    1.33    2.00    0.00    3.33     1  java
11:31:26 AM  1000     27717   11.33    4.33    0.00   15.67     1  java
11:31:29 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:31:32 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:31:35 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:31:38 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:31:41 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:31:44 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:31:47 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:31:50 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:31:53 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:31:56 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:31:59 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:32:02 AM  1000     27717    0.33    0.33    0.00    0.67     1  java
11:32:05 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:32:08 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:32:11 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:32:14 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:32:17 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:32:20 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:32:23 AM  1000     27717    2.00    1.33    0.00    3.33     1  java
11:32:26 AM  1000     27717   13.00    4.33    0.00   17.33     1  java
11:32:29 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:32:32 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:32:35 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:32:38 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:32:41 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:32:44 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:32:47 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:32:50 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:32:53 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:32:56 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:32:59 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:33:02 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:33:05 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:33:08 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:33:11 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:33:14 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:33:17 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:33:20 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:33:23 AM  1000     27717    2.67    1.00    0.00    3.67     1  java
11:33:26 AM  1000     27717   11.33    3.67    0.00   15.00     1  java
11:33:29 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:33:32 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:33:35 AM  1000     27717    0.33    0.33    0.00    0.67     1  java
11:33:38 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:33:41 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:33:44 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:33:47 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:33:50 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:33:53 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:33:56 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:33:59 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:34:02 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:34:05 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:34:08 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:34:11 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:34:14 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:34:17 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:34:20 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:34:23 AM  1000     27717    1.00    0.67    0.00    1.67     1  java
11:34:26 AM  1000     27717   13.33    4.33    0.00   17.67     1  java
11:34:29 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:34:32 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:34:35 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:34:38 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:34:41 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:34:44 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:34:47 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:34:50 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:34:53 AM  1000     27717    0.33    0.33    0.00    0.67     1  java
11:34:56 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:34:59 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:35:02 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:35:05 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:35:08 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:35:11 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:35:14 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:35:17 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:35:20 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:35:23 AM  1000     27717    1.33    0.67    0.00    2.00     1  java
11:35:26 AM  1000     27717   11.67    5.00    0.00   16.67     1  java
11:35:29 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:35:32 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:35:35 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:35:38 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:35:41 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:35:44 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:35:47 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:35:50 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:35:53 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:35:56 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:35:59 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:36:02 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:36:05 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:36:08 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:36:11 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:36:14 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:36:17 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:36:20 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:36:23 AM  1000     27717    3.00    0.67    0.00    3.67     1  java
11:36:26 AM  1000     27717   10.67    4.00    0.00   14.67     1  java
11:36:29 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:36:32 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:36:35 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:36:38 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:36:41 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:36:44 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:36:47 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:36:50 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:36:53 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:36:56 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:36:59 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:37:02 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:37:05 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:37:08 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:37:11 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:37:14 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
