 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT   
1536.0 5632.0 1152.0  0.0   102400.0 46398.0   55296.0    44982.8   15744.0 15191.9 1920.0 1709.4     28    0.619   1      0.177    0.796
1536.0 5632.0 1152.0  0.0   102400.0 46398.0   55296.0    44982.8   15744.0 15191.9 1920.0 1709.4     28    0.619   1      0.177    0.796
1536.0 5632.0 1152.0  0.0   102400.0 46398.0   55296.0    44982.8   15744.0 15191.9 1920.0 1709.4     28    0.619   1      0.177    0.796
1536.0 5632.0 1152.0  0.0   102400.0 46404.2   55296.0    44982.8   15744.0 15191.9 1920.0 1709.4     28    0.619   1      0.177    0.796
1536.0 5632.0 1152.0  0.0   102400.0 46404.2   55296.0    44982.8   15744.0 15191.9 1920.0 1709.4     28    0.619   1      0.177    0.796
1536.0 5632.0 1152.0  0.0   102400.0 46404.2   55296.0    44982.8   15744.0 15191.9 1920.0 1709.4     28    0.619   1      0.177    0.796
2048.0 5120.0 1749.5  0.0   94208.0   1680.6   55296.0    47507.4   17920.0 17297.6 2048.0 1945.0     30    0.656   1      0.177    0.833
512.0  5120.0 480.0   0.0   87040.0   8996.3   55296.0    49143.5   17920.0 17398.4 2048.0 1945.5     32    0.687   1      0.177    0.864
512.0  5120.0 288.0   0.0   80384.0  43680.3   55296.0    49487.5   17920.0 17409.7 2048.0 1946.0     34    0.715   1      0.177    0.892
5120.0 5120.0  0.0   320.0  77312.0  76982.8   55296.0    49639.5   18304.0 17413.9 2176.0 1946.5     36    0.731   1      0.177    0.908
4608.0 512.0   0.0   448.0  71680.0  40247.7   55296.0    49727.5   18304.0 17423.8 2176.0 1946.5     37    0.755   1      0.177    0.932
4096.0 4096.0  0.0   1824.0 66560.0  17138.2   55296.0    49775.5   18304.0 17438.4 2176.0 1946.5     39    0.778   1      0.177    0.955
512.0  4096.0 320.0   0.0   64000.0  63302.7   55296.0    49791.5   18304.0 17438.4 2176.0 1946.5     41    0.789   1      0.177    0.966
1536.0 3584.0 1152.0  0.0   59392.0  53846.4   55296.0    49831.5   18304.0 17444.4 2176.0 1946.5     42    0.815   1      0.177    0.992
3584.0 3584.0  0.0   256.0  53248.0    0.0     55296.0    49879.5   18304.0 17445.8 2176.0 1946.5     45    0.851   1      0.177    1.028
3072.0 512.0   0.0   224.0  49664.0   7793.1   55296.0    49927.5   18304.0 17448.4 2176.0 1946.5     47    0.876   1      0.177    1.053
