 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT   
7680.0 7680.0 2560.0  0.0   252928.0 139368.2  42496.0    16221.6   17280.0 16602.5 2176.0 1952.6      8    0.139   0      0.000    0.139
8192.0 7680.0  0.0   384.0  252928.0 10105.6   42496.0    16541.1   17280.0 16632.7 2176.0 1953.6      9    0.145   0      0.000    0.145
8192.0 7680.0  0.0   384.0  252928.0 137479.4  42496.0    16541.1   17280.0 16632.7 2176.0 1953.6      9    0.145   0      0.000    0.145
8192.0 8192.0 448.0   0.0   321536.0  9299.9   42496.0    16565.1   17536.0 16685.9 2176.0 1953.6     10    0.149   0      0.000    0.149
8192.0 8192.0 448.0   0.0   321536.0 137119.3  42496.0    16565.1   17536.0 16685.9 2176.0 1953.6     10    0.149   0      0.000    0.149
8192.0 8192.0 448.0   0.0   321536.0 268130.3  42496.0    16565.1   17536.0 16685.9 2176.0 1953.6     10    0.149   0      0.000    0.149
8192.0 512.0   0.0   511.9  306688.0 70807.5   42496.0    16605.1   17536.0 16736.7 2176.0 1956.3     11    0.154   0      0.000    0.154
8192.0 512.0   0.0   511.9  306688.0 192965.3  42496.0    16605.1   17536.0 16736.7 2176.0 1956.3     11    0.154   0      0.000    0.154
512.0  8192.0 416.0   0.0   292352.0 23623.8   42496.0    16637.1   17536.0 16834.0 2176.0 1956.3     12    0.159   0      0.000    0.159
512.0  8192.0 416.0   0.0   292352.0 159158.8  42496.0    16637.1   17536.0 16834.0 2176.0 1956.3     12    0.159   0      0.000    0.159
512.0  8192.0 416.0   0.0   292352.0 282971.5  42496.0    16637.1   17536.0 16834.0 2176.0 1956.3     12    0.159   0      0.000    0.159
8192.0 8192.0  0.0   384.0  278528.0 117143.2  42496.0    16717.1   17536.0 16836.4 2176.0 1956.3     13    0.161   0      0.000    0.161
8192.0 8192.0  0.0   384.0  278528.0 241131.4  42496.0    16717.1   17536.0 16836.4 2176.0 1956.3     13    0.161   0      0.000    0.161
512.0  8192.0 224.0   0.0   265728.0 88814.9   42496.0    16741.1   17536.0 16865.4 2176.0 1956.3     14    0.164   0      0.000    0.164
512.0  8192.0 224.0   0.0   265728.0 220795.7  42496.0    16741.1   17536.0 16865.4 2176.0 1956.3     14    0.164   0      0.000    0.164
8192.0 8192.0  0.0   320.0  253440.0 86020.2   42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 215346.7  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 220513.0  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 220664.1  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 220664.1  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 230971.5  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 230971.5  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 230971.5  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 233505.9  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 233505.9  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 233505.9  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 234509.6  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 234509.6  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 234509.6  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 235776.8  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 235776.8  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 235776.8  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 242194.3  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 242194.3  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 242194.3  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 243461.5  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 243461.5  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
8192.0 8192.0  0.0   320.0  253440.0 243461.5  42496.0    16765.1   17536.0 16880.5 2176.0 1956.3     15    0.167   0      0.000    0.167
