[sla] 120 1424413953998   141 135.76   
[sla] 121 1424414017950   141 135.75   
[sla] 122 1424414083394   141 135.73   
[sla] 123 1424414148944   141 135.71   
[sla] 124 1424414213611   141 135.69   
[sla] 125 1424414279037   141 135.67   
[sla] 126 1424414343629   141 135.66   
[sla] 127 1424414408210   141 135.64   
[sla] 128 1424414472783   141 135.62   
[sla] 129 1424414537163   141 135.60   
[sla] 130 1424414602559   141 135.58   
[sla] 131 1424414666465   141 135.57   
[sla] 132 1424414730256   141 135.55   
[sla] 133 1424414793923   141 135.53   
[sla] 134 1424414857739   141 135.51   
[sla] 135 1424414922726   141 135.50   
[sla] 136 1424414986819   141 135.48   
[sla] 137 1424415050895   141 135.46   
[sla] 138 1424415114456   141 135.44   
[sla] 139 1424415178012   141 135.42   
[sla] 140 1424415241868   141 135.41   
[sla] 141 1424415305889   141 135.39   
[sla] 142 1424415369727   141 135.37   
[sla] 143 1424415433510   141 135.35   
[sla] 144 1424415497353   141 135.34   
[sla] 145 1424415561476   141 135.32   
[sla] 146 1424415625282   141 135.30   
[sla] 147 1424415689221   141 135.28   
[sla] 148 1424415753194   141 135.27   
[sla] 149 1424415819846   141 135.25   
[sla] 150 1424415884315   141 135.23   
[sla] 151 1424415949035   141 135.21   
[sla] 152 1424416014769   141 135.19   
[sla] 153 1424416081279   141 135.17   
[sla] 154 1424416145579   141 135.16   
[sla] 155 1424416210486   141 135.14   
[sla] 156 1424416274258   141 135.12   
[sla] 157 1424416338287   138 135.10   
[sla] 158 1424416401815   138 135.09   
[sla] 159 1424416465350   138 135.07   
[sla] 160 1424416529700   138 135.05   
[sla] 161 1424416594509   138 135.03   
[sla] 162 1424416659877   138 135.01   
[sla] 163 1424416724875   138 135.00   
[sla] 164 1424416790191   138 134.98   
[sla] 165 1424416854534   138 134.96   
[sla] 166 1424416919522   138 134.94   
[sla] 167 1424416984340   138 134.92   
[sla] 168 1424417049507   141 134.91   
[sla] 169 1424417113454   141 134.89   
[sla] 170 1424417177120   141 134.87   
[sla] 171 1424417242469   141 134.85   
[sla] 172 1424417306570   141 134.83   
[sla] 173 1424417370352   141 134.82   
[sla] 174 1424417451087   141 134.79   
[sla] 175 1424417514708   141 134.78   
[sla] 176 1424417578360   141 134.76   
